composition,formation_energy,band_gap,delta_e
Au1 Pr1,-0.74871187375,0.0,-0.74871187375
As1 Y1,-1.061020095,0.0,-1.061020095
Hg1 Tl1,0.0247376300168656,0.0,0.0247376300168656
Ir1 Nb1,-0.511195725000002,0.0,-0.511195725000002
Dy1 Tl1,-0.338407230833335,0.0,-0.338407230833335
Ho1 Pd1,-0.913743951666665,0.0,-0.913743951666665
Pd1 Tm1,-0.947992699999999,0.0,-0.947992699999999
Ga1 Yb1,-0.5229307875,0.0,-0.5229307875
Al1 Os1,-0.39558665,0.0,-0.39558665
Sb1 Tl1,0.163747855,0.0,0.163747855
Pd1 Yb1,-0.867782709999999,0.0,-0.867782709999999
Al1 Pd1,-0.875974275,0.0,-0.875974275
Au1 Tm1,-0.893549525,0.0,-0.893549525
Bi1 Sc1,-0.681828165,0.0,-0.681828165
S1 U1,-1.51518715950668,0.0,-1.51518715950668
Pr1 S1,-2.16814546575668,0.0,-2.16814546575668
Te1 Tm1,-1.16367974166667,0.0,-1.16367974166667
Se1 Th1,-1.549155235,0.0,-1.549155235
N1 Pt1,1.02126855732825,0.0,1.02126855732825
Hg1 Y1,-0.480003724983134,0.0,-0.480003724983134
Ir1 Lu1,-0.972293312500001,0.0,-0.972293312500001
Cd1 S1,-0.787763352006678,1.341,-0.787763352006678
Te1 Y1,-1.30921191916666,0.0,-1.30921191916666
Eu1 Hg1,-0.673060737483134,0.0,-0.673060737483134
As1 B1,-0.0223691475000001,1.416,-0.0223691475000001
Au1 Sc1,-0.8037018025,0.0,-0.8037018025
Al1 Sm1,-0.37334288375,0.0,-0.37334288375
Au1 Sm1,-0.80073676375,0.0,-0.80073676375
Ho1 Rh1,-0.904027211666666,0.0,-0.904027211666666
Dy1 Hg1,-0.450664275816469,0.0,-0.450664275816469
O1,0.0956113312499998,0.0,0.0956113312499998
N1 Pu1,-1.36912201767175,0.0,-1.36912201767175
Cu1 Ti1,-0.0682901168931318,0.0,-0.0682901168931318
Au1 Lu1,-0.901567857499999,0.0,-0.901567857499999
Cd1 Ho1,-0.323945451666665,0.0,-0.323945451666665
Au1 Zn1,-0.21553083,0.0,-0.21553083
Ir1 V1,-0.48891935,0.0,-0.48891935
Pd1 Zn1,-0.571748935,0.0,-0.571748935
Ho1 Tl1,-0.324149999166665,0.0,-0.324149999166665
Ce1 Hg1,-0.441581126233134,0.0,-0.441581126233134
Dy1 In1,-0.472334363333335,0.0,-0.472334363333335
Ho1 Zn1,-0.347938361666665,0.0,-0.347938361666665
Au1 Tb1,-0.524167797333335,0.0,-0.524167797333335
Pt1 Sc1,-1.2287881725,0.0,-1.2287881725
Au1 Ti1,-0.334146896893132,0.0,-0.334146896893132
As1 Nd1,-1.513770145,0.0,-1.513770145
Ge1 P1,-0.0661037069799688,0.0,-0.0661037069799688
As1 Ge1,0.0525445800000002,0.0,0.0525445800000002
Nb1 Ru1,-0.15212739,0.0,-0.15212739
Pt1 Ti1,-0.799790121893133,0.0,-0.799790121893133
N1,4.3264729675,0.0,4.3264729675
Sb1 Y1,-1.168041905,0.0,-1.168041905
O1 Sc1,-3.10399899543938,0.0,-3.10399899543938
Nd1 Sb1,-1.194015895,0.0,-1.194015895
O1 Yb1,-3.50830931793938,3.583,-3.50830931793938
Ag1 F1,-1.15817396331555,0.0,-1.15817396331555
Gd1 In1,-0.49188357875,0.0,-0.49188357875
Fe1 Ni1,-0.0687964250000004,0.0,-0.0687964250000004
Al1 Pr1,-0.33769230375,0.0,-0.33769230375
Ag1 Ho1,-0.342531405416665,0.0,-0.342531405416665
Al1 Pt1,-0.93678468,0.0,-0.93678468
Cd1 O1,-1.23617653293938,0.0,-1.23617653293938
Er1 P1,-1.17513798447997,0.0,-1.17513798447997
Mn1 Zn1,0.0663328781034496,0.0,0.0663328781034496
Fe1 N1,-0.228883157671754,0.0,-0.228883157671754
Ir1 Mn1,-0.14220995189655,0.0,-0.14220995189655
Ir1 Ti1,-0.866832981893133,0.0,-0.866832981893133
Se1 Zn1,-0.718694705,1.499,-0.718694705
Br1 Na1,-1.79599746913374,4.361,-1.79599746913374
Cl1 K1,-2.14109800530956,5.354,-2.14109800530956
Ce1 S1,-2.15655388575668,0.0,-2.15655388575668
Ag1 N1,1.48883148357825,0.0,1.48883148357825
Nb1 O1,-1.36391431793938,0.0,-1.36391431793938
Ir1 Li1,-0.248667475,0.0,-0.248667475
Au1 Yb1,-0.95823176,0.0,-0.95823176
La1 S1,-2.30989324200668,0.0,-2.30989324200668
La1 Te1,-1.59230813166667,0.0,-1.59230813166667
Bi1 Ho1,-0.857156869166665,0.0,-0.857156869166665
C1 U1,-0.12693400625,0.0,-0.12693400625
As1 Sc1,-1.37674096,0.0,-1.37674096
Sb1 Sc1,-0.94237063,0.0,-0.94237063
Eu1 Pb1,-0.673615865,0.0,-0.673615865
Cs1 H1,-0.156556856092088,2.377,-0.156556856092088
Ce1 Zn1,-0.29845024875,0.0,-0.29845024875
Nd1 S1,-2.17271586450668,0.0,-2.17271586450668
Eu1 In1,-0.57477232,0.0,-0.57477232
N1 Ru1,0.817295957328247,0.0,0.817295957328247
In1 Sb1,-0.1333398475,0.264,-0.1333398475
Au1 Y1,-0.8617863925,0.0,-0.8617863925
La1 Se1,-1.9997975,0.0,-1.9997975
Np1 O1,-2.61667458706062,0.0,-2.61667458706062
Mn1 Te1,-0.0519698435632154,0.0,-0.0519698435632154
F1 Na1,-2.97399618999138,6.852,-2.97399618999138
In1 Te1,-0.0842171466666652,0.0,-0.0842171466666652
N1 Rh1,0.840573497328246,0.0,0.840573497328246
Ir1 N1,1.37713711732825,0.0,1.37713711732825
C1 Cr1,0.00025224625000142,0.0,0.00025224625000142
As1 La1,-1.5704256675,0.0,-1.5704256675
Cl1 Cu1,-0.396376637809561,0.548999999999999,-0.396376637809561
Nd1 Zn1,-0.3182084125,0.0,-0.3182084125
H1 Zr1,-0.321120561092088,0.0,-0.321120561092088
Au1 N1,1.57789847232825,0.0,1.57789847232825
Gd1 Se1,-1.79548777375,0.0,-1.79548777375
B1 Ti1,0.721563708106868,0.0,0.721563708106868
Al1 Sc1,-0.4495093125,0.0,-0.4495093125
Al1 Rh1,-1.09711632,0.0,-1.09711632
H1 Rh1,0.0415147039079127,0.0,0.0415147039079127
Dy1 Rh1,-0.873495153333335,0.0,-0.873495153333335
As1 Ce1,-1.48604430125,0.0,-1.48604430125
Ba1 Te1,-1.79088726166666,1.708,-1.79088726166666
Pr1 Se1,-1.84847688375,0.0,-1.84847688375
Br1 Cu1,-0.240067168707918,0.422,-0.240067168707918
Al1 Sb1,-0.1677793025,1.376,-0.1677793025
Nd1 Se1,-1.8421691925,0.0,-1.8421691925
N1 Np1,-1.21245721204675,0.0,-1.21245721204675
Bi1 Tm1,-0.801530597499999,0.0,-0.801530597499999
C1 Pu1,0.101179361249999,0.0,0.101179361249999
Bi1 Y1,-0.91421378,0.0,-0.91421378
Sc1 Sn1,0.366223044074399,0.0,0.366223044074399
Ga1 Ir1,-0.3878277475,0.0,-0.3878277475
Cd1 Gd1,-0.32606712375,0.0,-0.32606712375
Gd1 Rh1,-0.80484165375,0.0,-0.80484165375
Re1 Ti1,-0.418388054393132,0.0,-0.418388054393132
Ni1 Sc1,-0.515840327499999,0.0,-0.515840327499999
Cu1 Pd1,-0.126312169999999,0.0,-0.126312169999999
Bi1 Pr1,-0.98033922125,0.0,-0.98033922125
La1 N1,-0.832210132671753,0.0,-0.832210132671753
N1 Os1,1.45457860732825,0.0,1.45457860732825
Al1 Re1,0.0126065124999997,0.0,0.0126065124999997
C1 Pd1,1.48466575125,0.0,1.48466575125
Cd1 Tb1,0.00399461266666501,0.0,0.00399461266666501
Eu1 Se1,-2.206884395,1.806,-2.206884395
Gd1 O1,-2.88756785668938,0.0,-2.88756785668938
Np1 S1,-1.50850443638168,0.0,-1.50850443638168
Ag1 C1,2.2487658525,0.0,2.2487658525
Sb1 U1,-0.204518074999999,0.0,-0.204518074999999
Eu1 Tl1,-0.5622534625,0.0,-0.5622534625
Ir1 Sc1,-1.0301461825,0.0,-1.0301461825
C1 Th1,-0.28022727375,0.0,-0.28022727375
As1 Sn1,-0.107249905925602,0.0,-0.107249905925602
Cu1 Gd1,-0.22178002875,0.0,-0.22178002875
O1 Pu1,-2.69164421541103,0.0,-2.69164421541103
Ba1 Cd1,-0.327498125,0.0,-0.327498125
Pt1 V1,-0.54486387,0.0,-0.54486387
B1 N1,-1.35086916767175,4.062,-1.35086916767175
Ag1 Dy1,-0.335554942083335,0.0,-0.335554942083335
Eu1 S1,-2.47033469700668,2.068,-2.47033469700668
Os1 Si1,-0.3434495625,0.0,-0.3434495625
I1 Tl1,-0.762285488714159,2.172,-0.762285488714159
Ag1 Ga1,0.04734372875,0.0,0.04734372875
Ba1 Hg1,-0.491164262483134,0.0,-0.491164262483134
Ir1 Tm1,-0.92117172,0.0,-0.92117172
Pt1 Zr1,-0.912491534999999,0.0,-0.912491534999999
Gd1 Tl1,-0.36448837625,0.0,-0.36448837625
Te1 Th1,-1.09758697166667,0.0,-1.09758697166667
Sm1,0.0241746225000004,0.0,0.0241746225000004
P1 Pu1,-1.29009484947997,0.0,-1.29009484947997
Cs1 I1,-1.65211376621416,3.926,-1.65211376621416
Eu1 Te1,-1.82720172166666,1.484,-1.82720172166666
F1 Rb1,-2.73451094456555,7.051,-2.73451094456555
Ge1 Sc1,0.252137795,0.0,0.252137795
H1 Ni1,-0.0498987760920881,0.0,-0.0498987760920881
Nd1 Tl1,-0.39427055,0.0,-0.39427055
Pt1 Zn1,-0.56883208,0.0,-0.56883208
Ag1 Er1,-0.34775013375,0.0,-0.34775013375
As1 Lu1,-1.47154841,0.0,-1.47154841
Ga1 Ru1,-0.2982196625,0.0,-0.2982196625
Np1 Te1,-0.536375376041667,0.0,-0.536375376041667
Fe1 Rh1,-0.04855258,0.0,-0.04855258
Dy1 Zn1,-0.344135988333335,0.0,-0.344135988333335
Ga1 Rh1,-0.689778852500001,0.0,-0.689778852500001
Be1 Ni1,-0.47001106,0.0,-0.47001106
La1 P1,-1.69857021447997,0.0,-1.69857021447997
Ir1 Yb1,-0.320504415,0.0,-0.320504415
Ag1 Gd1,-0.3190237025,0.0,-0.3190237025
Cl1 Na1,-2.05010813823539,5.246,-2.05010813823539
Bi1 Ga1,0.00436810000000021,0.0,0.00436810000000021
As1 Ga1,0.0941217299999999,0.0,0.0941217299999999
C1 Nb1,-0.46718480875,0.0,-0.46718480875
As1 U1,-0.582944645,0.0,-0.582944645
Gd1 Zn1,-0.337417238750001,0.0,-0.337417238750001
Ir1 Y1,-0.784881452500001,0.0,-0.784881452500001
Mn1 S1,-0.631385183903229,0.0,-0.631385183903229
Pu1 Ru1,-0.160821685,0.0,-0.160821685
Ba1 Zn1,-0.165115005,0.0,-0.165115005
Ir1 Zr1,-0.766821889999999,0.0,-0.766821889999999
Rh1 Tb1,-0.511459007333335,0.0,-0.511459007333335
Ag1,0.00134922250000002,0.0,0.00134922250000002
Ag1 La1,-0.26489468875,0.0,-0.26489468875
Ag1 Cd1,-0.0670945487500001,0.0,-0.0670945487500001
Bi1 La1,-1.0646814975,0.0,-1.0646814975
Bi1 O1,-0.733636390439377,0.0,-0.733636390439377
Np1 Se1,-1.062620334375,0.0,-1.062620334375
